Mon Nov 09 13:53:50.304169 2020;10.81.162.115;PHP Fatal error:  Uncaught Error: Call to a member function free_result() on bool in /people/home/jwhiteley/public_html/searchResultPage.php:52\nStack trace:\n#0 {main}\n  thrown in /people/home/jwhiteley/public_html/searchResultPage.php on line 52, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:54:20.396164 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php?active=0
Mon Nov 09 13:54:20.396194 2020;10.81.162.115;PHP Notice:  Trying to get property 'num_rows' of non-object in /people/home/jwhiteley/public_html/searchResultPage.php on line 26, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php?active=0
Mon Nov 09 13:54:20.396218 2020;10.81.162.115;PHP Fatal error:  Uncaught Error: Call to a member function free_result() on bool in /people/home/jwhiteley/public_html/searchResultPage.php:52\nStack trace:\n#0 {main}\n  thrown in /people/home/jwhiteley/public_html/searchResultPage.php on line 52, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php?active=0
Mon Nov 09 13:54:29.241186 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:54:53.592839 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:54:53.592868 2020;10.81.162.115;PHP Notice:  Trying to get property 'num_rows' of non-object in /people/home/jwhiteley/public_html/searchResultPage.php on line 26, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:54:53.592904 2020;10.81.162.115;PHP Fatal error:  Uncaught Error: Call to a member function free_result() on bool in /people/home/jwhiteley/public_html/searchResultPage.php:52\nStack trace:\n#0 {main}\n  thrown in /people/home/jwhiteley/public_html/searchResultPage.php on line 52, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:58:17.289693 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php
Mon Nov 09 13:58:23.466555 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php?active=2
Mon Nov 09 13:58:55.541973 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php?active=2
Mon Nov 09 13:58:58.073201 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php?active=2
Mon Nov 09 13:59:05.818126 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/mainPage.php?active=2
Mon Nov 09 13:59:08.034899 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/itemPage.php on line 25, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/searchResultPage.php
Mon Nov 09 13:59:10.193120 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/searchResultPage.php on line 24, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/itemPage.php?r=1
Mon Nov 09 13:59:11.355047 2020;10.81.162.115;PHP Warning:  Use of undefined constant result - assumed 'result' (this will throw an Error in a future version of PHP) in /people/home/jwhiteley/public_html/itemPage.php on line 25, referer: http://clabsql.clamv.jacobs-university.de/~jwhiteley/searchResultPage.php
